Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Pharmacy Technician,Public Health,Community Health,0.0,16454.09,3363.69,19817.78
Registered Nurse,Public Health,Community Health,34894.66,190769.21,37410.4,228179.61
Speech Pathologist,Public Health,Community Health,0.0,72690.89,23192.5,95883.39
Nurse Practitioner,Public Health,Community Health,0.0,233353.56,59267.78,292621.34
Administrative Analyst,Public Health,Community Health,0.0,109116.42,30799.26,139915.68
IS Prg Analyst-Principal,Public Health,Community Health,0.0,151381.61,41756.71,193138.32
Victim/Witness Investigator 2,District Attorney,Public Protection,1490.71,57736.71,15908.79,73645.5
Administrative Analyst,District Attorney,Public Protection,0.0,68699.0,9273.9,77972.9
Public SafetyComm Disp,Dept of Emergency Management,Public Protection,7333.3,109435.38,28829.61,138264.99
Public SafetyComm Disp,Dept of Emergency Management,Public Protection,66165.12,183302.44,35841.62,219144.06
Registered Nurse,Public Health,Community Health,31737.91,162892.21,33843.79,196736.0
Registered Nurse,Public Health,Community Health,65115.94,215698.17,41059.1,256757.27
Special Nurse,Public Health,Community Health,0.0,103571.3,15357.38,118928.68
Nurse Manager,Public Health,Community Health,0.0,244953.55,62020.2,306973.75
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,123048.61,34366.73,157415.34
Administrative Analyst,Public Health,Community Health,0.0,109116.45,30459.03,139575.48
Nursing Assistant,Public Health,Community Health,3635.52,90890.23,24518.48,115408.71
Licensed Vocational Nurse,Public Health,Community Health,552.0,47775.64,14969.59,62745.23
Senior Clerk,Public Health,Community Health,0.0,84843.78,24061.79,108905.57
Pharmacist,Public Health,Community Health,0.0,193331.69,52028.68,245360.37
Porter,Public Health,Community Health,3813.7,68949.13,18802.59,87751.72
Special Nurse,Public Health,Community Health,0.0,19075.22,4356.28,23431.5
Sr Psychiatric Physician Spec,Public Health,Community Health,1317.6,378859.92,81851.19,460711.11
Special Nurse,Public Health,Community Health,0.0,39156.45,3023.32,42179.77
Pharmacy Technician,Public Health,Community Health,2859.45,106447.86,29052.58,135500.44
Permit Technician I,Building Inspection,"Public Works, Transportation & Commerce",0.0,61190.4,19395.2,80585.6
Permit Technician I,Building Inspection,"Public Works, Transportation & Commerce",0.0,26858.0,8415.18,35273.18
Special Nurse,Public Health,Community Health,0.0,55549.09,10719.2,66268.29
Nurse Practitioner,Public Health,Community Health,2182.18,247350.73,61671.62,309022.35
Hospital Elig Wrk Supervisor,Public Health,Community Health,423.19,117841.32,32792.8,150634.12
Special Nurse,Public Health,Community Health,0.0,28614.37,5916.77,34531.14
Health Worker 3,Public Health,Community Health,0.0,84404.3,23940.95,108345.25
Porter,Public Health,Community Health,25664.42,96747.62,22081.28,118828.9
Registered Nurse,Public Health,Community Health,13471.12,228236.5,38809.31,267045.81
Hospital Elig Wrk Supervisor,Public Health,Community Health,384.24,98720.76,27808.8,126529.56
Nurse Manager,Public Health,Community Health,926.98,269018.3,62976.2,331994.5
Registered Nurse,Public Health,Community Health,20404.24,128534.42,27760.9,156295.32
Registered Nurse,Public Health,Community Health,17911.12,190135.34,35060.3,225195.64
Registered Nurse,Public Health,Community Health,0.0,180742.21,48033.88,228776.09
Nurse Practitioner,Public Health,Community Health,13620.97,206927.08,51393.33,258320.41
Pr Administrative Analyst,Public Health,Community Health,0.0,156485.44,43143.29,199628.73
Public Service Aide-Admin,District Attorney,Public Protection,0.0,10787.91,799.25,11587.16
Patient Care Assistant,Public Health,Community Health,9620.92,80036.38,20603.97,100640.35
Medical Evaluations Assistant,Public Health,Community Health,0.0,42076.79,9463.55,51540.34
Patient Care Assistant,Public Health,Community Health,3963.16,36667.17,9793.21,46460.38
IT Operations Support Admn III,Public Health,Community Health,0.0,98127.1,27672.17,125799.27
Registered Nurse,Public Health,Community Health,1935.15,168358.92,41821.27,210180.19
Registered Nurse,Public Health,Community Health,45371.91,198735.38,36541.24,235276.62
Registered Nurse,Public Health,Community Health,18731.39,191763.04,45020.84,236783.88
Registered Nurse,Public Health,Community Health,3153.72,164054.44,41269.19,205323.63
Physical Therapist,Public Health,Community Health,0.0,95325.31,26792.09,122117.4
Porter,Public Health,Community Health,2830.65,73299.05,20087.98,93387.03
Medical Social Worker,Public Health,Community Health,0.0,59770.08,16650.03,76420.11
Health Worker 2,Public Health,Community Health,0.0,76829.0,21691.52,98520.52
Payroll and Personnel Clerk,Public Health,Community Health,1000.5,37685.5,2928.58,40614.08
Patient Care Assistant,Public Health,Community Health,6055.17,55627.58,15927.81,71555.39
Porter,Public Health,Community Health,19250.95,89700.95,21427.91,111128.86
Acupuncturist,Public Health,Community Health,0.0,70193.7,19297.42,89491.12
Behavioral Health Clinician,Public Health,Community Health,3220.04,108170.64,29829.61,138000.25
Hospital Eligibility Worker,Public Health,Community Health,3368.37,73119.27,15845.74,88965.01
Special Nurse,Public Health,Community Health,0.0,48786.38,8269.23,57055.61
Nurses Staffing Assistant,Public Health,Community Health,42907.49,78699.12,13421.64,92120.76
Registered Nurse,Public Health,Community Health,32908.73,185880.8,40319.74,226200.54
Registered Nurse,Public Health,Community Health,14551.37,164389.08,41296.01,205685.09
Medical Evaluations Assistant,Public Health,Community Health,4072.55,73420.37,19667.05,93087.42
Registered Nurse,Public Health,Community Health,42320.12,195454.48,38947.02,234401.5
Health Worker 2,Public Health,Community Health,0.0,52486.37,14059.23,66545.6
Porter,Public Health,Community Health,9098.73,56070.74,15519.26,71590.0
Hospital Eligibility Worker,Public Health,Community Health,265.2,7846.61,648.88,8495.49
Health Worker 2,Public Health,Community Health,726.9,51741.9,8581.63,60323.53
Health Educator,Public Health,Community Health,0.0,76582.14,10536.27,87118.41
Pharmacy Technician,Public Health,Community Health,594.75,102305.86,28373.21,130679.07
"BdComm Mbr, Grp5,M$100/Mo",Public Health,Community Health,0.0,1058.0,80.82,1138.82
Health Program Coordinator 2,Public Health,Community Health,0.0,53883.0,5668.18,59551.18
Special Nurse,Public Health,Community Health,1229.7,17159.44,1303.27,18462.71
Pharmacy Technician,Public Health,Community Health,0.0,15950.53,1211.44,17161.97
Senior Administrative Analyst,Public Health,Community Health,0.0,44473.0,3298.97,47771.97
Special Nurse,Public Health,Community Health,0.0,2273.95,176.5,2450.45
Registered Nurse,Public Health,Community Health,0.0,51720.24,9202.14,60922.38
Steamfitter,Department Of Public Works,"Public Works, Transportation & Commerce",27878.5,161273.31,39507.9,200781.21
Truck Driver,Department Of Public Works,"Public Works, Transportation & Commerce",5940.4,108846.5,29507.46,138353.96
Health Worker 1,Public Health,Community Health,1864.84,24307.74,1956.69,26264.43
Licensed Vocational Nurse,Public Health,Community Health,363.31,78986.83,15052.14,94038.97
Medical Evaluations Assistant,Public Health,Community Health,2309.18,41252.48,4138.61,45391.09
Pharmacist,Public Health,Community Health,0.0,97773.81,26827.48,124601.29
Medical Social Worker,Public Health,Community Health,0.0,45640.48,12803.04,58443.52
Registered Nurse,Public Health,Community Health,14520.4,90478.01,21972.88,112450.89
Registered Nurse,Public Health,Community Health,2440.17,53833.16,14325.06,68158.22
Registered Nurse,Public Health,Community Health,564.2,51655.36,14082.66,65738.02
Health Worker 2,Public Health,Community Health,0.0,23856.1,6673.66,30529.76
Psychiatric Technician,Public Health,Community Health,0.0,26979.57,7553.35,34532.92
Special Nurse,Public Health,Community Health,0.0,21966.98,331.45,22298.43
Registered Nurse,Public Health,Community Health,718.08,12745.92,3331.11,16077.03
Registered Nurse,Public Health,Community Health,374.66,11043.46,2932.28,13975.74
IS Engineer-Journey,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,149798.21,41270.11,191068.32
Cement Finisher Supervisor 1,Department Of Public Works,"Public Works, Transportation & Commerce",7832.71,142813.04,38170.01,180983.05
Truck Driver,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,101192.29,28374.52,129566.81
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",13631.2,103040.9,25978.87,129019.77
IT Operations Support Admn III,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,111529.22,31513.35,143042.57
Gardener,Public Health,Community Health,2974.28,71108.88,19382.22,90491.1
Special Nurse,Public Health,Community Health,392.31,59652.94,4530.64,64183.58
Hospital Eligibility Worker,Public Health,Community Health,40316.37,85339.62,15666.72,101006.34
Clinical Pharmacist,Public Health,Community Health,0.0,152827.07,41936.02,194763.09
Special Nurse,Public Health,Community Health,7335.88,59091.38,4487.99,63579.37
Special Nurse,Public Health,Community Health,0.0,29225.66,2219.69,31445.35
Special Nurse,Public Health,Community Health,2026.8,37933.06,2881.03,40814.09
Special Nurse,Public Health,Community Health,12781.19,82156.48,6239.79,88396.27
Medical Record Technician,Public Health,Community Health,0.0,47340.3,13315.64,60655.94
Medical Evaluations Assistant,Public Health,Community Health,0.0,18458.51,5188.2,23646.71
Patient Care Assistant,Public Health,Community Health,478.95,31969.61,9949.04,41918.65
Patient Care Assistant,Public Health,Community Health,738.41,17747.96,5396.47,23144.43
Registered Nurse,Public Health,Community Health,2646.86,45750.86,12003.64,57754.5
Behavioral Health Clinician,Public Health,Community Health,0.0,14022.82,3923.11,17945.93
Health Program Coordinator 3,Public Health,Community Health,0.0,18632.0,1562.11,20194.11
Asphalt Finisher Supervisor 1,Department Of Public Works,"Public Works, Transportation & Commerce",2476.58,116860.71,32982.53,149843.24
Eng/Arch/Landscape Arch Sr,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,199344.05,52125.78,251469.83
Assistant Const Inspector,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,90391.18,22582.13,112973.31
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,148760.86,41016.71,189777.57
Hospital Eligibility Worker,Public Health,Community Health,0.0,48025.76,13614.65,61640.41
Clinical Pharmacist,Public Health,Community Health,0.0,182398.73,48093.55,230492.28
Special Nurse,Public Health,Community Health,7360.66,61813.96,4723.18,66537.14
Special Nurse,Public Health,Community Health,0.0,31120.0,6861.54,37981.54
Senior Account Clerk,Public Health,Community Health,0.0,81130.62,22445.75,103576.37
Patient Care Assistant,Public Health,Community Health,2712.9,67785.6,18776.54,86562.14
Behavioral Health Clinician,Public Health,Community Health,0.0,114497.51,32271.16,146768.67
Behavioral Health Clinician,Public Health,Community Health,0.0,112975.5,31907.03,144882.53
Registered Nurse,Public Health,Community Health,13500.67,162890.31,39097.75,201988.06
IT Operations Support Admn III,Public Health,Community Health,0.0,98150.01,27349.69,125499.7
Pharmacist,Public Health,Community Health,41133.49,243130.04,52711.73,295841.77
Porter,Public Health,Community Health,2084.47,46663.97,14151.28,60815.25
Registered Nurse,Public Health,Community Health,18067.54,185101.81,40746.74,225848.55
Manager V,Public Health,Community Health,0.0,194855.06,63344.57,258199.63
Physician Specialist,Public Health,Community Health,0.0,59248.19,15939.06,75187.25
Sr Psychiatric Physician Spec,Public Health,Community Health,0.0,247176.12,66127.61,313303.73
Diagnostic Imaging Assistant,Public Health,Community Health,4151.44,85848.96,23276.88,109125.84
Home Health Aide,Public Health,Community Health,2956.05,60066.86,18174.24,78241.1
Senior Administrative Analyst,Public Health,Community Health,0.0,127162.24,35765.49,162927.73
Special Nurse,Public Health,Community Health,0.0,6933.46,1678.23,8611.69
Special Nurse,Public Health,Community Health,1151.55,35076.26,7329.66,42405.92
Registered Nurse,Public Health,Community Health,0.0,171053.52,46213.06,217266.58
Food Service Worker,Public Health,Community Health,26521.27,56232.77,11469.33,67702.1
Stationary Engineer,Public Health,Community Health,29955.96,139864.11,33158.54,173022.65
Special Nurse,Public Health,Community Health,4666.42,44311.64,8677.1,52988.74
Registered Nurse,Public Health,Community Health,17002.22,192119.6,38709.88,230829.48
Medical Record Technician,Public Health,Community Health,0.0,86027.71,24338.18,110365.89
Registered Nurse,Public Health,Community Health,4944.72,187863.44,50079.47,237942.91
Registered Nurse,Public Health,Community Health,35007.26,197059.41,36044.74,233104.15
Registered Nurse,Public Health,Community Health,25594.53,180908.24,43700.12,224608.36
Special Nurse,Public Health,Community Health,1261.79,2546.52,581.92,3128.44
Behavioral Health Clinician,Public Health,Community Health,0.0,119822.92,36352.94,156175.86
Health Program Coordinator 3,Public Health,Community Health,0.0,116328.62,31343.01,147671.63
Food Service Worker,Public Health,Community Health,1502.99,26696.26,8067.35,34763.61
Patient Care Assistant,Public Health,Community Health,8266.91,76345.39,19431.09,95776.48
Patient Care Assistant,Public Health,Community Health,40379.98,111823.42,23235.24,135058.66
Registered Nurse,Public Health,Community Health,373.4,154986.83,28395.13,183381.96
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,122923.63,34663.49,157587.12
Nutritionist,Public Health,Community Health,0.0,118967.81,33479.92,152447.73
Behavioral Health Clinician,Public Health,Community Health,0.0,116290.43,32834.56,149124.99
Special Nurse,Public Health,Community Health,173.6,47815.38,9228.87,57044.25
Special Nurse,Public Health,Community Health,0.0,1189.94,320.92,1510.86
Special Nurse,Public Health,Community Health,0.0,4778.09,1172.57,5950.66
Senior Clerk,Public Health,Community Health,3923.09,73939.79,19806.79,93746.58
Senior Clerk,Public Health,Community Health,0.0,54535.86,15514.81,70050.67
Special Nurse,Public Health,Community Health,2719.32,60769.98,4615.48,65385.46
Registered Nurse,Public Health,Community Health,12844.24,155024.75,33928.58,188953.33
Special Nurse,Public Health,Community Health,0.0,14080.8,3216.03,17296.83
Registered Nurse,Public Health,Community Health,8623.22,140048.79,35404.81,175453.6
Special Nurse,Public Health,Community Health,0.0,33176.3,2570.34,35746.64
Porter,Public Health,Community Health,0.0,58968.63,16718.98,75687.61
Health Worker 3,Public Health,Community Health,0.0,67239.4,21294.84,88534.24
Senior Clerk,Public Health,Community Health,0.0,43263.61,12395.42,55659.03
Patient Care Assistant,Public Health,Community Health,417.75,33678.45,9304.77,42983.22
Porter Assistant Supervisor,Public Health,Community Health,33543.54,109778.08,24073.35,133851.43
Senior Stationary Engineer,Public Health,Community Health,8201.98,129403.09,34715.21,164118.3
Special Nurse,Public Health,Community Health,0.0,2628.52,640.12,3268.64
Special Nurse,Public Health,Community Health,42979.84,231425.94,10252.3,241678.24
Registered Nurse,Public Health,Community Health,73159.65,249718.59,49249.27,298967.86
Environmental Health Inspector,Public Health,Community Health,0.0,125604.23,35254.38,160858.61
Sterile Processing & Dist Tech,Public Health,Community Health,1854.53,94011.88,26157.6,120169.48
Health Worker 2,Public Health,Community Health,16522.63,86475.15,18328.28,104803.43
Registered Nurse,Public Health,Community Health,9440.98,172702.97,42007.08,214710.05
IS Business Analyst-Principal,Public Health,Community Health,0.0,161994.73,44060.47,206055.2
Porter,Public Health,Community Health,13406.11,73959.44,18156.13,92115.57
Patient Accounts Clerk,Public Health,Community Health,0.0,92186.0,26021.04,118207.04
Behavioral Health Clinician,Public Health,Community Health,0.0,117850.4,32947.51,150797.91
Registered Nurse,Public Health,Community Health,4815.42,108133.33,27771.09,135904.42
IS Business Analyst,Public Health,Community Health,0.0,113704.6,32030.58,145735.18
Senior Administrative Analyst,Public Health,Community Health,0.0,90851.32,24923.41,115774.73
Senior Personnel Clerk,Public Health,Community Health,14.46,77793.27,21990.56,99783.83
Dietitian,Public Health,Community Health,0.0,25197.9,7026.06,32223.96
Registered Nurse,Public Health,Community Health,2735.74,166980.67,41215.84,208196.51
Porter,Public Health,Community Health,20528.17,87096.64,22592.08,109688.72
Senior Personnel Clerk,Public Health,Community Health,0.0,69092.6,21874.53,90967.13
Hospital Eligibility Worker,Public Health,Community Health,34525.54,72213.97,13258.76,85472.73
Senior Personnel Clerk,Public Health,Community Health,0.0,72619.1,20619.68,93238.78
Registered Nurse,Public Health,Community Health,55331.05,234096.46,48948.04,283044.5
Food Service Worker,Public Health,Community Health,3358.09,31665.04,9160.91,40825.95
Porter,Public Health,Community Health,9727.55,83709.51,21677.81,105387.32
Senior Human Resources Analyst,Public Health,Community Health,0.0,108806.52,30456.38,139262.9
Senior Physician Specialist,Public Health,Community Health,0.0,280443.55,67194.1,347637.65
Special Nurse,Public Health,Community Health,0.0,701.7,53.3,755.0
Registered Nurse,Public Health,Community Health,35034.45,178575.61,39894.43,218470.04
Patient Care Assistant,Public Health,Community Health,32174.69,113507.24,25350.11,138857.35
Clerk,Public Health,Community Health,0.0,19434.61,3742.73,23177.34
Porter,Public Health,Community Health,0.0,29965.21,8512.45,38477.66
Behavioral Health Clinician,Public Health,Community Health,0.0,116286.65,32700.52,148987.17
Food Service Worker,Public Health,Community Health,2301.31,28033.79,8349.23,36383.02
Nurses Staffing Assistant,Public Health,Community Health,2343.04,63121.28,17369.81,80491.09
Sr Psychiatric Physician Spec,Public Health,Community Health,0.0,356115.36,85282.57,441397.93
Dietetic Technician,Public Health,Community Health,0.0,72225.11,20254.13,92479.24
Special Nurse,Public Health,Community Health,0.0,11722.47,2610.08,14332.55
Patient Care Assistant,Public Health,Community Health,2385.53,65155.33,20006.75,85162.08
Patient Care Assistant,Public Health,Community Health,4441.7,46659.96,13395.5,60055.46
Behavioral Health Clinician,Public Health,Community Health,0.0,92693.6,26113.23,118806.83
Special Nurse,Public Health,Community Health,2102.52,139913.91,10704.04,150617.95
Porter,Public Health,Community Health,3005.32,48655.49,12407.64,61063.13
Special Nurse,Public Health,Community Health,0.0,12421.59,2940.11,15361.7
Supervising Pharmacist,Public Health,Community Health,0.0,152200.22,35808.8,188009.02
Nurse Practitioner,Public Health,Community Health,6217.01,173651.8,45065.44,218717.24
IS Engineer-Senior,Public Health,Community Health,0.0,173248.09,45048.53,218296.62
Principal Account Clerk,Public Health,Community Health,0.0,87156.5,24638.22,111794.72
Behavioral Health Clinician,Public Health,Community Health,0.0,112839.94,31744.05,144583.99
Health Worker 2,Public Health,Community Health,0.0,77547.2,21893.17,99440.37
Clinical Pharmacist,Public Health,Community Health,2348.7,209474.49,53240.11,262714.6
Registered Nurse,Public Health,Community Health,0.0,169974.4,45713.53,215687.93
Manager V,Public Health,Community Health,0.0,197706.62,62038.19,259744.81
Registered Nurse,Public Health,Community Health,2927.37,90225.21,23831.72,114056.93
Registered Nurse,Public Health,Community Health,7833.89,194992.53,35444.25,230436.78
"Radiologic Tech I, II, III",Public Health,Community Health,42690.62,184103.02,38519.55,222622.57
Special Nurse,Public Health,Community Health,290.11,13142.11,3246.01,16388.12
Special Nurse,Public Health,Community Health,0.0,19239.48,4358.82,23598.3
Registered Nurse,Public Health,Community Health,14909.01,176688.6,37983.57,214672.17
Medical Records Clerk,Public Health,Community Health,0.0,79615.8,22473.12,102088.92
Health Worker 2,Public Health,Community Health,4484.73,80744.0,21862.29,102606.29
Physician Specialist,Public Health,Community Health,8146.37,211716.07,52456.1,264172.17
Registered Nurse,Public Health,Community Health,2530.11,19882.21,2375.58,22257.79
Medical Social Worker,Public Health,Community Health,0.0,117850.41,33272.56,151122.97
Behavioral Health Clinician,Public Health,Community Health,0.0,40601.97,11235.06,51837.03
Nurse Practitioner,Public Health,Community Health,0.0,126861.62,34565.74,161427.36
Patient Care Assistant,Public Health,Community Health,20080.76,81049.84,20887.44,101937.28
Health Worker 3,Public Health,Community Health,11685.89,82474.63,22672.63,105147.26
Laboratory Technician II,Public Health,Community Health,554.5,39026.5,10857.47,49883.97
Health Program Coordinator 2,Public Health,Community Health,0.0,113123.61,31889.64,145013.25
Health Program Coordinator 2,Public Health,Community Health,0.0,112242.71,31671.6,143914.31
Senior Human Resources Analyst,Public Health,Community Health,0.0,134961.3,37315.45,172276.75
Special Nurse,Public Health,Community Health,0.0,4130.23,849.46,4979.69
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,55339.86,14330.97,69670.83
Nurse Practitioner,Public Health,Community Health,0.0,226025.9,57904.43,283930.33
Sr Environmental Hlth Insp,Public Health,Community Health,0.0,144077.64,39575.49,183653.13
Registered Nurse,Public Health,Community Health,262.24,166336.15,44667.53,211003.68
Registered Nurse,Public Health,Community Health,0.0,172403.78,45855.24,218259.02
Nurse Manager,Public Health,Community Health,0.0,64675.03,14887.82,79562.85
Special Nurse,Public Health,Community Health,8130.5,50227.06,3814.75,54041.81
IS Business Analyst-Principal,Public Health,Community Health,0.0,161575.61,44121.34,205696.95
Porter,Public Health,Community Health,20676.47,89196.57,20756.11,109952.68
Special Nurse,Public Health,Community Health,0.0,16652.09,3780.15,20432.24
Registered Nurse,Public Health,Community Health,10018.82,180094.86,31379.56,211474.42
Patient Care Assistant,Public Health,Community Health,30459.42,96979.57,23264.06,120243.63
Registered Nurse,Public Health,Community Health,9783.0,193136.88,43774.11,236910.99
Registered Nurse,Public Health,Community Health,15347.42,167942.49,37639.44,205581.93
Registered Nurse,Public Health,Community Health,1391.28,92099.05,25165.72,117264.77
Behavioral Health Clinician,Public Health,Community Health,0.0,102569.7,28908.04,131477.74
Special Nurse,Public Health,Community Health,0.0,819.8,212.34,1032.14
Behavioral Health Clinician,Public Health,Community Health,0.0,116290.42,32512.02,148802.44
Hospital Eligibility Worker,Public Health,Community Health,16768.11,103860.1,25881.7,129741.8
Environmental Hlth Tech 1,Public Health,Community Health,0.0,23079.11,6626.15,29705.26
Medical Records Clerk,Public Health,Community Health,0.0,76705.3,21706.79,98412.09
Registered Nurse,Public Health,Community Health,7513.47,168280.53,42202.76,210483.29
Registered Nurse,Public Health,Community Health,11533.33,204866.98,50277.72,255144.7
Physical Therapist,Public Health,Community Health,0.0,80228.11,22772.59,103000.7
Environmental Hlth Tech 1,Public Health,Community Health,0.0,542.63,155.78,698.41
Registered Nurse,Public Health,Community Health,19674.79,169754.66,41950.42,211705.08
Patient Care Assistant,Public Health,Community Health,5285.58,66182.2,17689.35,83871.55
Food Service Worker,Public Health,Community Health,1876.3,31861.07,9321.93,41183.0
Special Nurse,Public Health,Community Health,0.0,15215.4,1155.61,16371.01
Special Nurse,Public Health,Community Health,30937.57,218320.23,10889.91,229210.14
Special Nurse,Public Health,Community Health,31520.18,230615.19,13465.91,244081.1
Registered Nurse,Public Health,Community Health,22063.59,110439.56,26622.45,137062.01
Special Nurse,Public Health,Community Health,559.27,12682.97,2704.27,15387.24
Occupational Therapist,Public Health,Community Health,0.0,29937.35,7259.82,37197.17
Patient Care Assistant,Public Health,Community Health,9147.81,67662.61,16960.97,84623.58
Registered Nurse,Public Health,Community Health,388.98,179156.35,48929.12,228085.47
Registered Nurse,Public Health,Community Health,2353.61,171746.7,45405.29,217151.99
Registered Nurse,Public Health,Community Health,3547.7,151621.34,41201.18,192822.52
Hospital Eligibility Worker,Public Health,Community Health,27.38,72902.91,20298.21,93201.12
Public Health Nurse,Public Health,Community Health,0.0,130273.49,30852.09,161125.58
Porter,Public Health,Community Health,3076.54,76024.79,20803.6,96828.39
Accountant III,Public Health,Community Health,0.0,116483.24,32809.51,149292.75
Medical Social Worker,Public Health,Community Health,0.0,104805.97,29373.55,134179.52
Registered Nurse,Public Health,Community Health,0.0,181132.24,49724.81,230857.05
IT Operations Support Admn III,Public Health,Community Health,0.0,111529.2,30994.05,142523.25
Food Service Worker,Public Health,Community Health,11368.26,76300.42,21369.44,97669.86
Special Nurse,Public Health,Community Health,0.0,6433.79,1576.09,8009.88
Registered Nurse,Public Health,Community Health,12437.71,174226.21,39631.73,213857.94
Behavioral Health Clinician,Public Health,Community Health,0.0,116290.39,32812.25,149102.64
Anesthetist,Public Health,Community Health,0.0,2719.95,211.11,2931.06
"Diag Med Sonographer I,II,III",Public Health,Community Health,38406.88,241429.4,45320.67,286750.07
Special Nurse,Public Health,Community Health,2458.76,89156.31,6771.42,95927.73
Special Nurse,Public Health,Community Health,0.0,1462.73,376.09,1838.82
Porter,Public Health,Community Health,0.0,8324.7,2750.42,11075.12
Registered Nurse,Public Health,Community Health,77.15,155861.88,41901.68,197763.56
Special Nurse,Public Health,Community Health,1748.62,37935.41,589.09,38524.5
Behavioral Health Clinician,Public Health,Community Health,0.0,112587.0,31723.14,144310.14
Registered Nurse,Public Health,Community Health,4845.17,99041.22,24904.45,123945.67
Nutritionist,Public Health,Community Health,0.0,109927.13,30869.58,140796.71
Registered Nurse,Public Health,Community Health,3737.66,153000.33,37803.9,190804.23
Medical Evaluations Assistant,Public Health,Community Health,204.75,73675.86,20671.73,94347.59
Hospital Eligibility Worker,Public Health,Community Health,546.99,66446.44,16032.63,82479.07
Special Nurse,Public Health,Community Health,8333.6,80310.62,13054.6,93365.22
Clinical Pharmacist,Public Health,Community Health,5028.7,192756.4,49688.16,242444.56
Patient Care Assistant,Public Health,Community Health,6064.7,63568.69,15966.35,79535.04
Registered Nurse,Public Health,Community Health,13164.4,160802.35,41416.02,202218.37
Medical Evaluations Assistant,Public Health,Community Health,52744.73,92562.46,15200.36,107762.82
Porter,Public Health,Community Health,445.2,22207.33,6278.0,28485.33
Special Nurse,Public Health,Community Health,0.0,17502.38,3754.74,21257.12
Special Nurse,Public Health,Community Health,0.0,40029.83,8449.54,48479.37
Home Health Aide,Public Health,Community Health,39656.36,98266.05,21224.7,119490.75
Home Health Aide,Public Health,Community Health,34185.5,93001.34,21143.65,114144.99
Physical Therapist,Public Health,Community Health,0.0,80106.57,21829.5,101936.07
Senior Clerk,Public Health,Community Health,0.0,46838.1,14552.19,61390.29
Special Nurse,Public Health,Community Health,1493.21,48969.23,9555.98,58525.21
Patient Care Assistant,Public Health,Community Health,387.6,53353.28,15174.91,68528.19
Special Nurse,Public Health,Community Health,0.0,40569.31,8509.43,49078.74
Hospital Eligibility Worker,Public Health,Community Health,3487.35,91098.52,25009.67,116108.19
Registered Nurse,Public Health,Community Health,5503.27,182209.4,47210.17,229419.57
Hospital Eligibility Worker,Public Health,Community Health,0.0,6384.93,535.04,6919.97
Nursing Supervisor,Public Health,Community Health,14.69,294680.26,73304.84,367985.1
Nurse Practitioner,Public Health,Community Health,7289.7,188871.84,48654.81,237526.65
Registered Nurse,Public Health,Community Health,8650.44,97497.53,18849.11,116346.64
Registered Nurse,Public Health,Community Health,9516.2,168202.47,35601.33,203803.8
Registered Nurse,Public Health,Community Health,1233.91,103762.95,28366.22,132129.17
Patient Care Assistant,Public Health,Community Health,10799.58,70590.23,19644.83,90235.06
Registered Nurse,Public Health,Community Health,15861.67,167650.27,41874.16,209524.43
Registered Nurse,Public Health,Community Health,11184.3,162989.01,34091.05,197080.06
Medical Evaluations Assistant,Public Health,Community Health,0.0,37492.65,11905.4,49398.05
Special Nurse,Public Health,Community Health,94.62,13616.27,3129.98,16746.25
Special Nurse,Public Health,Community Health,1743.42,51600.28,3919.04,55519.32
Special Nurse,Public Health,Community Health,0.0,278.1,21.59,299.69
Nurse Practitioner,Public Health,Community Health,100610.5,209812.56,35303.5,245116.06
Health Program Coordinator 2,Public Health,Community Health,0.0,107765.7,23808.53,131574.23
Patient Care Assistant,Public Health,Community Health,4233.77,87520.83,23631.46,111152.29
Registered Nurse,Public Health,Community Health,544.3,38541.01,5683.46,44224.47
Food Service Supervisor,Public Health,Community Health,22409.04,100750.27,23358.75,124109.02
Medical Evaluations Assistant,Public Health,Community Health,21432.23,99948.64,23791.59,123740.23
Special Nurse,Public Health,Community Health,0.0,64763.63,4944.13,69707.76
Special Nurse,Public Health,Community Health,1157.25,48444.36,9642.72,58087.08
Registered Nurse,Public Health,Community Health,5327.94,107316.43,28076.92,135393.35
Special Nurse,Public Health,Community Health,0.0,15329.47,3660.79,18990.26
Hospital Eligibility Worker,Public Health,Community Health,422.52,23679.74,6783.05,30462.79
Hospital Eligibility Worker,Public Health,Community Health,679.58,35536.58,6120.88,41657.46
Registered Nurse,Public Health,Community Health,215.7,15812.42,3210.74,19023.16
IS Business Analyst,Public Health,Community Health,0.0,92034.43,25943.46,117977.89
Patient Care Assistant,Public Health,Community Health,4331.29,62426.49,18676.99,81103.48
Special Nurse,Public Health,Community Health,0.0,27458.41,5649.06,33107.47
Registered Nurse,Public Health,Community Health,11640.61,165642.06,41754.02,207396.08
